Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    71 , 200 , 220 , 420 , 190 , 220 , 410 , 190 , 220 , 410 , 180 , 210 , 390 , 190 , 210 , 400 , 180 , 380 , 560 
    72 , 230 , 260 , 490 , 220 , 260 , 480 , 220 , 260 , 480 , 210 , 250 , 460 , 210 , 250 , 460 , 290 , 260 , 550 
    73 , 170 , 180 , 350 , 170 , 190 , 360 , 160 , 180 , 340 , 160 , 180 , 340 , 160 , 170 , 330 , 160 , 300 , 460 
    74 , 220 , 320 , 540 , 220 , 320 , 540 , 290 , 320 , 610 , 280 , 310 , 590 , 280 , 300 , 580 , 280 , 300 , 580 
    75 , 100 , 90 , 190 , 90 , 90 , 180 , 90 , 90 , 180 , 90 , 130 , 220 , 100 , 130 , 230 , 90 , 140 , 230 
    76 , 340 , 220 , 560 , 320 , 220 , 540 , 280 , 200 , 480 , 280 , 350 , 630 , 280 , 340 , 620 , 270 , 340 , 610 
    77 , 200 , 260 , 460 , 190 , 250 , 440 , 180 , 240 , 420 , 170 , 230 , 400 , 180 , 230 , 410 , 180 , 230 , 410 
    78 , 290 , 170 , 460 , 270 , 170 , 440 , 260 , 280 , 540 , 250 , 270 , 520 , 240 , 250 , 490 , 230 , 250 , 480 
    79 , 200 , 220 , 420 , 190 , 210 , 400 , 180 , 200 , 380 , 170 , 200 , 370 , 170 , 190 , 360 , 160 , 190 , 350 
 80+ , 330 ," 1,020 "," 1,350 ", 720 , 740 ," 1,460 ", 940 , 800 ," 1,740 ", 720 ," 1,190 "," 1,910 ", 630 ," 1,560 "," 2,190 ", 930 , 690 ," 1,620 "
," 109,700 "," 108,000 "," 217,700 "," 114,500 "," 112,600 "," 227,100 "," 119,700 "," 117,300 "," 237,000 "," 125,000 "," 122,300 "," 247,300 "," 130,400 "," 127,400 "," 257,800 "," 136,100 "," 132,700 "," 268,800 "
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
