Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    23 ," 2,700 "," 3,060 "," 5,760 "," 2,860 "," 3,180 "," 6,040 "," 2,940 "," 3,210 "," 6,150 "," 3,170 "," 3,350 "," 6,520 "," 3,410 "," 3,500 "," 6,910 "," 3,630 "," 3,630 "," 7,260 "
    24 ," 2,650 "," 2,960 "," 5,610 "," 2,760 "," 3,070 "," 5,830 "," 2,900 "," 3,190 "," 6,090 "," 3,000 "," 3,320 "," 6,320 "," 3,220 "," 3,460 "," 6,680 "," 3,440 "," 3,600 "," 7,040 "
    25 ," 2,420 "," 2,690 "," 5,110 "," 2,520 "," 2,790 "," 5,310 "," 2,630 "," 2,900 "," 5,530 "," 2,780 "," 3,020 "," 5,800 "," 2,970 "," 3,150 "," 6,120 "," 3,170 "," 3,280 "," 6,450 "
    26 ," 2,500 "," 2,900 "," 5,400 "," 2,620 "," 3,010 "," 5,630 "," 2,740 "," 3,020 "," 5,760 "," 2,770 "," 3,150 "," 5,920 "," 2,940 "," 3,300 "," 6,240 "," 3,140 "," 3,430 "," 6,570 "
    27 ," 2,340 "," 2,810 "," 5,150 "," 2,460 "," 2,940 "," 5,400 "," 2,570 "," 3,060 "," 5,630 "," 2,680 "," 3,190 "," 5,870 "," 2,710 "," 3,310 "," 6,020 "," 2,860 "," 3,440 "," 6,300 "
    28 ," 2,130 "," 2,370 "," 4,500 "," 2,230 "," 2,490 "," 4,720 "," 2,320 "," 2,520 "," 4,840 "," 2,340 "," 2,620 "," 4,960 "," 2,440 "," 2,720 "," 5,160 "," 2,540 "," 2,820 "," 5,360 "
    29 ," 2,470 "," 2,720 "," 5,190 "," 2,610 "," 2,900 "," 5,510 "," 2,750 "," 3,070 "," 5,820 "," 2,780 "," 3,230 "," 6,010 "," 2,920 "," 3,250 "," 6,170 "," 3,040 "," 3,390 "," 6,430 "
    30 ," 1,730 "," 2,090 "," 3,820 "," 1,750 "," 2,220 "," 3,970 "," 1,840 "," 2,340 "," 4,180 "," 1,940 "," 2,450 "," 4,390 "," 2,030 "," 2,560 "," 4,590 "," 2,110 "," 2,650 "," 4,760 "
    31 ," 2,360 "," 2,540 "," 4,900 "," 2,390 "," 2,600 "," 4,990 "," 2,540 "," 2,820 "," 5,360 "," 2,700 "," 3,030 "," 5,730 "," 2,730 "," 3,100 "," 5,830 "," 2,890 "," 3,270 "," 6,160 "
    32 ," 1,900 "," 2,200 "," 4,100 "," 2,000 "," 2,340 "," 4,340 "," 2,100 "," 2,490 "," 4,590 "," 2,130 "," 2,570 "," 4,700 "," 2,240 "," 2,750 "," 4,990 "," 2,350 "," 2,890 "," 5,240 "
    33 ," 1,640 "," 1,890 "," 3,530 "," 1,790 "," 1,910 "," 3,700 "," 1,800 "," 1,960 "," 3,760 "," 1,830 "," 2,180 "," 4,010 "," 2,010 "," 2,240 "," 4,250 "," 2,020 "," 2,450 "," 4,470 "
    34 ," 1,670 "," 1,780 "," 3,450 "," 1,670 "," 1,800 "," 3,470 "," 1,780 "," 1,920 "," 3,700 "," 1,800 "," 1,980 "," 3,780 "," 1,910 "," 2,140 "," 4,050 "," 2,030 "," 2,210 "," 4,240 "
    35 ," 1,580 "," 1,750 "," 3,330 "," 1,650 "," 1,850 "," 3,500 "," 1,660 "," 1,860 "," 3,520 "," 1,750 "," 1,980 "," 3,730 "," 1,840 "," 2,120 "," 3,960 "," 1,860 "," 2,270 "," 4,130 "
    36 ," 1,630 "," 1,950 "," 3,580 "," 1,630 "," 1,960 "," 3,590 "," 1,750 "," 1,980 "," 3,730 "," 1,760 "," 2,110 "," 3,870 "," 1,790 "," 2,280 "," 4,070 "," 1,910 "," 2,330 "," 4,240 "
    37 ," 1,660 "," 1,710 "," 3,370 "," 1,670 "," 1,720 "," 3,390 "," 1,780 "," 1,740 "," 3,520 "," 1,790 "," 1,880 "," 3,670 "," 1,930 "," 1,900 "," 3,830 "," 1,930 "," 2,060 "," 3,990 "
    38 ," 1,450 "," 1,570 "," 3,020 "," 1,440 "," 1,580 "," 3,020 "," 1,530 "," 1,690 "," 3,220 "," 1,550 "," 1,710 "," 3,260 "," 1,650 "," 1,820 "," 3,470 "," 1,670 "," 1,840 "," 3,510 "
    39 ," 1,520 "," 1,560 "," 3,080 "," 1,620 "," 1,690 "," 3,310 "," 1,620 "," 1,710 "," 3,330 "," 1,630 "," 1,850 "," 3,480 "," 1,760 "," 1,870 "," 3,630 "," 1,760 "," 1,890 "," 3,650 "
    40 ," 1,150 "," 1,340 "," 2,490 "," 1,210 "," 1,420 "," 2,630 "," 1,210 "," 1,500 "," 2,710 "," 1,270 "," 1,530 "," 2,800 "," 1,290 "," 1,630 "," 2,920 "," 1,350 "," 1,700 "," 3,050 "
    41 ," 1,460 "," 1,570 "," 3,030 "," 1,450 "," 1,600 "," 3,050 "," 1,570 "," 1,760 "," 3,330 "," 1,580 "," 1,800 "," 3,380 "," 1,590 "," 1,830 "," 3,420 "," 1,710 "," 1,990 "," 3,700 "
    42 ," 1,350 "," 1,500 "," 2,850 "," 1,350 "," 1,610 "," 2,960 "," 1,430 "," 1,630 "," 3,060 "," 1,430 "," 1,770 "," 3,200 "," 1,530 "," 1,810 "," 3,340 "," 1,530 "," 1,920 "," 3,450 "
    43 ," 1,370 "," 1,400 "," 2,770 "," 1,370 "," 1,420 "," 2,790 "," 1,480 "," 1,440 "," 2,920 "," 1,470 "," 1,600 "," 3,070 "," 1,480 "," 1,640 "," 3,120 "," 1,590 "," 1,660 "," 3,250 "
    44 ," 1,220 "," 1,120 "," 2,340 "," 1,220 "," 1,130 "," 2,350 "," 1,220 "," 1,250 "," 2,470 "," 1,330 "," 1,280 "," 2,610 "," 1,330 "," 1,300 "," 2,630 "," 1,330 "," 1,450 "," 2,780 "
    45 , 960 ," 1,050 "," 2,010 ", 960 ," 1,060 "," 2,020 "," 1,030 "," 1,150 "," 2,180 "," 1,040 "," 1,170 "," 2,210 "," 1,120 "," 1,270 "," 2,390 "," 1,120 "," 1,300 "," 2,420 "
    46 ," 1,290 "," 1,270 "," 2,560 "," 1,400 "," 1,270 "," 2,670 "," 1,400 "," 1,280 "," 2,680 "," 1,420 "," 1,300 "," 2,720 "," 1,540 "," 1,430 "," 2,970 "," 1,540 "," 1,460 "," 3,000 "
    47 ," 1,060 "," 1,100 "," 2,160 "," 1,060 "," 1,110 "," 2,170 "," 1,060 "," 1,110 "," 2,170 "," 1,190 "," 1,270 "," 2,460 "," 1,210 "," 1,290 "," 2,500 "," 1,200 "," 1,310 "," 2,510 "
    48 , 880 , 940 ," 1,820 ", 980 , 950 ," 1,930 ", 980 , 960 ," 1,940 ", 990 ," 1,060 "," 2,050 "," 1,000 "," 1,080 "," 2,080 "," 1,100 "," 1,080 "," 2,180 "
    49 , 830 , 920 ," 1,750 ", 970 , 930 ," 1,900 ", 990 ," 1,070 "," 2,060 "," 1,000 "," 1,080 "," 2,080 "," 1,020 "," 1,100 "," 2,120 "," 1,010 "," 1,100 "," 2,110 "
    50 , 650 , 780 ," 1,430 ", 730 , 790 ," 1,520 ", 740 , 850 ," 1,590 ", 760 , 870 ," 1,630 ", 850 , 880 ," 1,730 ", 850 , 950 ," 1,800 "
