Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    24 , 870 ," 1,000 "," 1,870 ", 880 ," 1,110 "," 1,990 ", 990 ," 1,110 "," 2,100 "," 1,020 "," 1,220 "," 2,240 "," 1,060 "," 1,230 "," 2,290 "," 1,200 "," 1,340 "," 2,540 "
    25 , 850 ," 1,070 "," 1,920 ", 950 , 980 ," 1,930 ", 960 ," 1,170 "," 2,130 ", 980 ," 1,270 "," 2,250 "," 1,110 "," 1,280 "," 2,390 "," 1,140 "," 1,390 "," 2,530 "
    26 , 670 , 910 ," 1,580 ", 680 , 910 ," 1,590 ", 690 , 910 ," 1,600 ", 690 ," 1,030 "," 1,720 ", 820 ," 1,040 "," 1,860 ", 840 ," 1,040 "," 1,880 "
    27 , 630 , 670 ," 1,300 ", 640 , 780 ," 1,420 ", 650 , 790 ," 1,440 ", 750 , 790 ," 1,540 ", 760 , 900 ," 1,660 ", 770 , 900 ," 1,670 "
    28 , 670 , 780 ," 1,450 ", 680 , 880 ," 1,560 ", 770 , 880 ," 1,650 ", 780 , 890 ," 1,670 ", 780 , 970 ," 1,750 ", 870 , 980 ," 1,850 "
    29 , 610 , 610 ," 1,220 ", 730 , 630 ," 1,360 ", 750 , 760 ," 1,510 ", 750 , 760 ," 1,510 ", 760 , 770 ," 1,530 ", 880 , 900 ," 1,780 "
    30 , 870 , 850 ," 1,720 ", 950 , 940 ," 1,890 ", 970 , 960 ," 1,930 ", 980 ," 1,050 "," 2,030 "," 1,060 "," 1,130 "," 2,190 "," 1,140 "," 1,140 "," 2,280 "
    31 , 550 , 560 ," 1,110 ", 550 , 570 ," 1,120 ", 570 , 590 ," 1,160 ", 570 , 600 ," 1,170 ", 580 , 610 ," 1,190 ", 580 , 760 ," 1,340 "
    32 , 450 , 570 ," 1,020 ", 460 , 580 ," 1,040 ", 470 , 600 ," 1,070 ", 560 , 610 ," 1,170 ", 560 , 730 ," 1,290 ", 570 , 740 ," 1,310 "
    33 , 470 , 460 , 930 , 470 , 460 , 930 , 480 , 620 ," 1,100 ", 630 , 640 ," 1,270 ", 640 , 650 ," 1,290 ", 640 , 670 ," 1,310 "
    34 , 610 , 520 ," 1,130 ", 600 , 520 ," 1,120 ", 620 , 620 ," 1,240 ", 620 , 640 ," 1,260 ", 720 , 650 ," 1,370 ", 730 , 670 ," 1,400 "
    35 , 540 , 580 ," 1,120 ", 620 , 580 ," 1,200 ", 630 , 580 ," 1,210 ", 630 , 670 ," 1,300 ", 710 , 690 ," 1,400 ", 710 , 790 ," 1,500 "
    36 , 490 , 370 , 860 , 490 , 480 , 970 , 500 , 490 , 990 , 500 , 490 , 990 , 500 , 500 ," 1,000 ", 500 , 510 ," 1,010 "
    37 , 380 , 390 , 770 , 380 , 390 , 770 , 390 , 400 , 790 , 500 , 400 , 900 , 510 , 520 ," 1,030 ", 510 , 530 ," 1,040 "
    38 , 410 , 390 , 800 , 400 , 390 , 790 , 410 , 400 , 810 , 510 , 490 ," 1,000 ", 510 , 490 ," 1,000 ", 510 , 500 ," 1,010 "
    39 , 370 , 360 , 730 , 370 , 360 , 730 , 380 , 370 , 750 , 380 , 480 , 860 , 380 , 480 , 860 , 380 , 490 , 870 
    40 , 490 , 400 , 890 , 550 , 470 ," 1,020 ", 560 , 480 ," 1,040 ", 550 , 480 ," 1,030 ", 620 , 490 ," 1,110 ", 620 , 560 ," 1,180 "
    41 , 290 , 290 , 580 , 290 , 290 , 580 , 300 , 300 , 600 , 420 , 300 , 720 , 420 , 440 , 860 , 420 , 440 , 860 
    42 , 290 , 220 , 510 , 290 , 310 , 600 , 300 , 310 , 610 , 300 , 320 , 620 , 300 , 320 , 620 , 390 , 330 , 720 
    43 , 270 , 160 , 430 , 270 , 280 , 550 , 280 , 290 , 570 , 280 , 290 , 570 , 280 , 300 , 580 , 400 , 300 , 700 
    44 , 350 , 360 , 710 , 350 , 360 , 710 , 360 , 360 , 720 , 360 , 370 , 730 , 460 , 370 , 830 , 460 , 380 , 840 
    45 , 340 , 270 , 610 , 340 , 270 , 610 , 420 , 270 , 690 , 420 , 350 , 770 , 420 , 350 , 770 , 420 , 360 , 780 
    46 , 260 , 160 , 420 , 260 , 160 , 420 , 270 , 160 , 430 , 270 , 280 , 550 , 270 , 280 , 550 , 270 , 290 , 560 
    47 , 290 , 170 , 460 , 290 , 170 , 460 , 300 , 170 , 470 , 300 , 170 , 470 , 300 , 300 , 600 , 420 , 310 , 730 
    48 , 310 , 300 , 610 , 310 , 300 , 610 , 320 , 310 , 630 , 420 , 310 , 730 , 420 , 310 , 730 , 420 , 400 , 820 
    49 , 420 , 280 , 700 , 430 , 290 , 720 , 450 , 290 , 740 , 450 , 290 , 740 , 450 , 290 , 740 , 450 , 290 , 740 
    50 , 300 , 200 , 500 , 310 , 200 , 510 , 320 , 260 , 580 , 320 , 260 , 580 , 330 , 270 , 600 , 330 , 270 , 600 
    51 , 160 , 160 , 320 , 160 , 160 , 320 , 170 , 160 , 330 , 170 , 160 , 330 , 180 , 160 , 340 , 180 , 160 , 340 
    52 , 180 , 120 , 300 , 190 , 120 , 310 , 200 , 120 , 320 , 200 , 120 , 320 , 210 , 210 , 420 , 210 , 210 , 420 
    53 , 170 , 170 , 340 , 170 , 170 , 340 , 180 , 170 , 350 , 180 , 170 , 350 , 190 , 170 , 360 , 190 , 170 , 360 
    54 , 210 , 210 , 420 , 210 , 210 , 420 , 220 , 210 , 430 , 230 , 210 , 440 , 230 , 220 , 450 , 240 , 220 , 460 
    55 , 240 , 220 , 460 , 240 , 130 , 370 , 250 , 220 , 470 , 250 , 220 , 470 , 250 , 230 , 480 , 260 , 230 , 490 
    56 , 130 , 140 , 270 , 130 , 140 , 270 , 140 , 140 , 280 , 140 , 140 , 280 , 140 , 140 , 280 , 140 , 140 , 280 
    57 , 160 , 180 , 340 , 160 , 170 , 330 , 170 , 180 , 350 , 170 , 180 , 350 , 170 , 180 , 350 , 170 , 190 , 360 
    58 , 140 , 150 , 290 , 140 , 150 , 290 , 150 , 150 , 300 , 150 , 150 , 300 , 150 , 150 , 300 , 150 , 150 , 300 
    59 , 170 , 180 , 350 , 170 , 180 , 350 , 180 , 180 , 360 , 180 , 180 , 360 , 180 , 180 , 360 , 180 , 180 , 360 
    60 , 220 , 180 , 400 , 220 , 180 , 400 , 230 , 180 , 410 , 230 , 190 , 420 , 290 , 190 , 480 , 290 , 190 , 480 
    61 , 170 , 190 , 360 , 170 , 190 , 360 , 180 , 190 , 370 , 180 , 200 , 380 , 180 , 200 , 380 , 190 , 200 , 390 
    62 , 120 , 140 , 260 , 120 , 140 , 260 , 130 , 140 , 270 , 130 , 140 , 270 , 130 , 140 , 270 , 130 , 140 , 270 
    63 , 170 , 180 , 350 , 170 , 180 , 350 , 180 , 180 , 360 , 180 , 180 , 360 , 180 , 180 , 360 , 190 , 180 , 370 
    64 , 130 , 130 , 260 , 130 , 130 , 260 , 140 , 130 , 270 , 140 , 130 , 270 , 140 , 130 , 270 , 140 , 130 , 270 
    65 , 110 , 100 , 210 , 110 , 100 , 210 , 120 , 100 , 220 , 120 , 100 , 220 , 190 , 100 , 290 , 190 , 100 , 290 
    66 , 140 , 160 , 300 , 140 , 160 , 300 , 150 , 160 , 310 , 150 , 160 , 310 , 140 , 160 , 300 , 140 , 160 , 300 
    67 , 140 , 160 , 300 , 140 , 160 , 300 , 150 , 160 , 310 , 150 , 150 , 300 , 140 , 150 , 290 , 140 , 150 , 290 
    68 , 140 , 150 , 290 , 140 , 140 , 280 , 150 , 140 , 290 , 150 , 140 , 290 , 140 , 140 , 280 , 140 , 140 , 280 
    69 , 150 , 160 , 310 , 150 , 150 , 300 , 150 , 150 , 300 , 150 , 150 , 300 , 150 , 150 , 300 , 150 , 150 , 300 
    70+ , 470 , 140 , 610 , 650 , 110 , 760 , 210 , 420 , 630 , 160 , 300 , 460 , 290 , 400 , 690 , 510 , 620 ," 1,130 "
," 56,000 "," 53,400 "," 109,400 "," 58,100 "," 55,700 "," 113,800 "," 60,400 "," 58,200 "," 118,600 "," 62,600 "," 60,800 "," 123,400 "," 65,100 "," 63,500 "," 128,600 "," 67,500 "," 66,200 "," 133,700 "
