Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    73 , 520 , 740 ," 1,260 ", 500 , 730 ," 1,230 ", 500 , 710 ," 1,210 ", 490 , 690 ," 1,180 ", 590 , 680 ," 1,270 ", 590 , 650 ," 1,240 "
    74 , 490 , 540 ," 1,030 ", 480 , 620 ," 1,100 ", 470 , 620 ," 1,090 ", 460 , 610 ," 1,070 ", 460 , 600 ," 1,060 ", 450 , 580 ," 1,030 "
    75 , 400 , 570 , 970 , 370 , 530 , 900 , 370 , 530 , 900 , 400 , 520 , 920 , 400 , 520 , 920 , 390 , 530 , 920 
    76 , 570 , 710 ," 1,280 ", 540 , 670 ," 1,210 ", 500 , 640 ," 1,140 ", 500 , 620 ," 1,120 ", 490 , 610 ," 1,100 ", 480 , 590 ," 1,070 "
    77 , 450 , 600 ," 1,050 ", 430 , 570 ," 1,000 ", 420 , 560 , 980 , 400 , 530 , 930 , 410 , 540 , 950 , 400 , 520 , 920 
    78 , 500 , 710 ," 1,210 ", 480 , 670 ," 1,150 ", 460 , 630 ," 1,090 ", 450 , 610 ," 1,060 ", 430 , 580 ," 1,010 ", 510 , 660 ," 1,170 "
    79 , 440 , 520 , 960 , 420 , 490 , 910 , 410 , 480 , 890 , 390 , 470 , 860 , 390 , 460 , 850 , 370 , 430 , 800 
 80+ ," 2,140 "," 2,630 "," 4,770 "," 2,280 "," 2,610 "," 4,890 "," 1,670 "," 2,210 "," 3,880 "," 1,780 "," 2,310 "," 4,090 "," 1,360 "," 2,030 "," 3,390 "," 1,600 "," 2,300 "," 3,900 "
," 383,200 "," 415,700 "," 798,900 "," 393,600 "," 426,000 "," 819,600 "," 404,200 "," 436,700 "," 840,900 "," 415,100 "," 447,600 "," 862,700 "," 426,100 "," 458,700 "," 884,800 "," 437,100 "," 469,900 "," 907,000 "
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
