Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    39 , 710 , 900 ," 1,610 ", 710 ," 1,020 "," 1,730 ", 820 ," 1,030 "," 1,850 ", 830 ," 1,040 "," 1,870 ", 830 ," 1,170 "," 2,000 ", 840 ," 1,180 "," 2,020 "
    40 , 610 , 830 ," 1,440 ", 610 , 840 ," 1,450 ", 670 , 920 ," 1,590 ", 680 , 930 ," 1,610 ", 680 , 950 ," 1,630 ", 760 ," 1,020 "," 1,780 "
    41 , 800 , 920 ," 1,720 ", 800 , 940 ," 1,740 ", 790 ," 1,090 "," 1,880 ", 800 ," 1,100 "," 1,900 ", 800 ," 1,120 "," 1,920 ", 940 ," 1,140 "," 2,080 "
    42 , 640 , 850 ," 1,490 ", 720 , 860 ," 1,580 ", 720 , 870 ," 1,590 ", 730 , 890 ," 1,620 ", 730 ," 1,010 "," 1,740 ", 820 ," 1,020 "," 1,840 "
    43 , 630 , 770 ," 1,400 ", 630 , 780 ," 1,410 ", 630 , 790 ," 1,420 ", 750 , 930 ," 1,680 ", 750 , 960 ," 1,710 ", 760 , 970 ," 1,730 "
    44 , 780 , 890 ," 1,670 ", 770 , 890 ," 1,660 ", 780 , 910 ," 1,690 ", 790 , 920 ," 1,710 ", 880 ," 1,050 "," 1,930 ", 890 ," 1,070 "," 1,960 "
    45 , 640 , 570 ," 1,210 ", 640 , 650 ," 1,290 ", 630 , 660 ," 1,290 ", 720 , 660 ," 1,380 ", 720 , 680 ," 1,400 ", 730 , 780 ," 1,510 "
    46 , 600 , 760 ," 1,360 ", 710 , 760 ," 1,470 ", 710 , 770 ," 1,480 ", 720 , 780 ," 1,500 ", 720 , 910 ," 1,630 ", 730 , 930 ," 1,660 "
    47 , 660 , 560 ," 1,220 ", 660 , 560 ," 1,220 ", 660 , 700 ," 1,360 ", 670 , 700 ," 1,370 ", 670 , 720 ," 1,390 ", 810 , 730 ," 1,540 "
    48 , 580 , 570 ," 1,150 ", 590 , 570 ," 1,160 ", 590 , 580 ," 1,170 ", 600 , 580 ," 1,180 ", 690 , 680 ," 1,370 ", 710 , 690 ," 1,400 "
    49 , 550 , 650 ," 1,200 ", 560 , 660 ," 1,220 ", 570 , 670 ," 1,240 ", 580 , 670 ," 1,250 ", 720 , 690 ," 1,410 ", 720 , 690 ," 1,410 "
    50 , 500 , 540 ," 1,040 ", 510 , 540 ," 1,050 ", 590 , 550 ," 1,140 ", 600 , 610 ," 1,210 ", 610 , 620 ," 1,230 ", 690 , 630 ," 1,320 "
    51 , 520 , 660 ," 1,180 ", 530 , 660 ," 1,190 ", 540 , 660 ," 1,200 ", 560 , 670 ," 1,230 ", 570 , 690 ," 1,260 ", 710 , 690 ," 1,400 "
    52 , 400 , 450 , 850 , 490 , 450 , 940 , 500 , 540 ," 1,040 ", 520 , 540 ," 1,060 ", 530 , 560 ," 1,090 ", 540 , 560 ," 1,100 "
    53 , 430 , 560 , 990 , 440 , 560 ," 1,000 ", 580 , 560 ," 1,140 ", 600 , 570 ," 1,170 ", 610 , 580 ," 1,190 ", 630 , 590 ," 1,220 "
    54 , 480 , 560 ," 1,040 ", 480 , 560 ," 1,040 ", 480 , 650 ," 1,130 ", 500 , 660 ," 1,160 ", 510 , 680 ," 1,190 ", 540 , 680 ," 1,220 "
