Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    28 ," 1,230 "," 1,690 "," 2,920 "," 1,240 "," 1,720 "," 2,960 "," 1,260 "," 1,740 "," 3,000 "," 1,340 "," 1,840 "," 3,180 "," 1,350 "," 1,840 "," 3,190 "," 1,360 "," 1,850 "," 3,210 "
    29 ," 1,070 "," 1,540 "," 2,610 "," 1,080 "," 1,580 "," 2,660 "," 1,100 "," 1,610 "," 2,710 "," 1,110 "," 1,750 "," 2,860 "," 1,110 "," 1,750 "," 2,860 "," 1,230 "," 1,770 "," 3,000 "
    30 , 940 ," 1,460 "," 2,400 ", 950 ," 1,500 "," 2,450 ", 970 ," 1,610 "," 2,580 ", 980 ," 1,640 "," 2,620 "," 1,060 "," 1,660 "," 2,720 "," 1,060 "," 1,740 "," 2,800 "
    31 ," 1,320 "," 1,470 "," 2,790 "," 1,330 "," 1,510 "," 2,840 "," 1,350 "," 1,700 "," 3,050 "," 1,490 "," 1,740 "," 3,230 "," 1,510 "," 1,770 "," 3,280 "," 1,520 "," 1,790 "," 3,310 "
    32 ," 1,040 "," 1,200 "," 2,240 "," 1,050 "," 1,220 "," 2,270 "," 1,150 "," 1,260 "," 2,410 "," 1,160 "," 1,400 "," 2,560 "," 1,170 "," 1,430 "," 2,600 "," 1,180 "," 1,450 "," 2,630 "
    33 ," 1,050 "," 1,590 "," 2,640 "," 1,050 "," 1,600 "," 2,650 "," 1,070 "," 1,660 "," 2,730 "," 1,070 "," 1,700 "," 2,770 "," 1,090 "," 1,750 "," 2,840 "," 1,090 "," 1,950 "," 3,040 "
    34 ," 1,180 "," 1,480 "," 2,660 "," 1,170 "," 1,490 "," 2,660 "," 1,190 "," 1,520 "," 2,710 "," 1,200 "," 1,550 "," 2,750 "," 1,300 "," 1,700 "," 3,000 "," 1,310 "," 1,750 "," 3,060 "
    35 , 980 ," 1,120 "," 2,100 ", 980 ," 1,130 "," 2,110 ", 990 ," 1,140 "," 2,130 "," 1,000 "," 1,240 "," 2,240 "," 1,080 "," 1,270 "," 2,350 "," 1,090 "," 1,310 "," 2,400 "
    36 , 940 ," 1,040 "," 1,980 ", 940 ," 1,040 "," 1,980 ", 950 ," 1,060 "," 2,010 ", 950 ," 1,180 "," 2,130 "," 1,070 "," 1,200 "," 2,270 "," 1,080 "," 1,230 "," 2,310 "
    37 , 840 , 860 ," 1,700 ", 840 , 990 ," 1,830 ", 850 ," 1,010 "," 1,860 ", 850 ," 1,010 "," 1,860 ", 860 ," 1,020 "," 1,880 ", 860 ," 1,040 "," 1,900 "
    38 , 870 ," 1,010 "," 1,880 ", 870 ," 1,020 "," 1,890 ", 880 ," 1,040 "," 1,920 ", 880 ," 1,140 "," 2,020 ", 880 ," 1,150 "," 2,030 ", 890 ," 1,160 "," 2,050 "
    39 , 830 , 900 ," 1,730 ", 820 , 910 ," 1,730 ", 830 , 930 ," 1,760 ", 830 ," 1,050 "," 1,880 ", 830 ," 1,060 "," 1,890 ", 940 ," 1,070 "," 2,010 "
    40 , 680 , 890 ," 1,570 ", 670 , 970 ," 1,640 ", 680 , 990 ," 1,670 ", 680 ," 1,000 "," 1,680 ", 680 ," 1,010 "," 1,690 ", 750 ," 1,020 "," 1,770 "
    41 , 800 , 790 ," 1,590 ", 800 , 940 ," 1,740 ", 800 , 960 ," 1,760 ", 930 , 980 ," 1,910 ", 930 , 990 ," 1,920 ", 930 ," 1,000 "," 1,930 "
    42 , 730 , 850 ," 1,580 ", 720 , 860 ," 1,580 ", 730 , 880 ," 1,610 ", 810 , 900 ," 1,710 ", 820 , 910 ," 1,730 ", 810 , 920 ," 1,730 "
    43 , 750 , 890 ," 1,640 ", 870 , 900 ," 1,770 ", 870 , 930 ," 1,800 ", 860 , 940 ," 1,800 ", 860 ," 1,090 "," 1,950 ", 860 ," 1,100 "," 1,960 "
    44 , 670 , 780 ," 1,450 ", 670 , 790 ," 1,460 ", 680 , 810 ," 1,490 ", 680 , 820 ," 1,500 ", 670 , 830 ," 1,500 ", 780 , 850 ," 1,630 "
    45 , 560 , 800 ," 1,360 ", 560 , 810 ," 1,370 ", 640 , 820 ," 1,460 ", 650 , 830 ," 1,480 ", 640 , 840 ," 1,480 ", 640 , 940 ," 1,580 "
    46 , 600 , 760 ," 1,360 ", 600 , 760 ," 1,360 ", 600 , 780 ," 1,380 ", 610 , 790 ," 1,400 ", 610 , 790 ," 1,400 ", 720 , 800 ," 1,520 "
    47 , 660 , 560 ," 1,220 ", 660 , 700 ," 1,360 ", 670 , 710 ," 1,380 ", 670 , 710 ," 1,380 ", 670 , 720 ," 1,390 ", 670 , 730 ," 1,400 "
    48 , 580 , 660 ," 1,240 ", 590 , 660 ," 1,250 ", 600 , 770 ," 1,370 ", 600 , 770 ," 1,370 ", 600 , 770 ," 1,370 ", 600 , 780 ," 1,380 "
