Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    24 ," 1,050 "," 1,100 "," 2,150 "," 1,060 "," 1,110 "," 2,170 "," 1,080 "," 1,210 "," 2,290 "," 1,210 "," 1,220 "," 2,430 "," 1,250 "," 1,230 "," 2,480 "," 1,400 "," 1,340 "," 2,740 "
    25 , 940 ," 1,170 "," 2,110 ", 950 ," 1,170 "," 2,120 "," 1,050 "," 1,170 "," 2,220 "," 1,070 "," 1,270 "," 2,340 "," 1,190 "," 1,280 "," 2,470 "," 1,230 "," 1,390 "," 2,620 "
    26 , 990 ," 1,130 "," 2,120 "," 1,000 "," 1,130 "," 2,130 "," 1,000 "," 1,240 "," 2,240 "," 1,120 "," 1,250 "," 2,370 "," 1,140 "," 1,260 "," 2,400 "," 1,170 "," 1,380 "," 2,550 "
    27 , 930 ," 1,100 "," 2,030 "," 1,040 "," 1,210 "," 2,250 "," 1,040 "," 1,220 "," 2,260 "," 1,040 "," 1,220 "," 2,260 "," 1,150 "," 1,330 "," 2,480 "," 1,170 "," 1,340 "," 2,510 "
    28 , 910 , 950 ," 1,860 ", 920 ," 1,040 "," 1,960 ", 920 ," 1,050 "," 1,970 "," 1,010 "," 1,060 "," 2,070 "," 1,010 "," 1,150 "," 2,160 "," 1,100 "," 1,150 "," 2,250 "
    29 , 950 ," 1,080 "," 2,030 "," 1,080 "," 1,220 "," 2,300 "," 1,090 "," 1,240 "," 2,330 "," 1,100 "," 1,250 "," 2,350 "," 1,220 "," 1,380 "," 2,600 "," 1,220 "," 1,390 "," 2,610 "
    30 , 800 , 920 ," 1,720 ", 810 , 940 ," 1,750 ", 890 , 960 ," 1,850 ", 900 ," 1,050 "," 1,950 ", 900 ," 1,060 "," 1,960 ", 980 ," 1,140 "," 2,120 "
    31 , 930 , 950 ," 1,880 ", 940 , 970 ," 1,910 ", 950 ," 1,140 "," 2,090 "," 1,090 "," 1,170 "," 2,260 "," 1,100 "," 1,190 "," 2,290 "," 1,110 "," 1,200 "," 2,310 "
    32 , 790 , 930 ," 1,720 ", 790 , 950 ," 1,740 ", 800 , 970 ," 1,770 ", 890 ," 1,100 "," 1,990 ", 900 ," 1,120 "," 2,020 ", 910 ," 1,140 "," 2,050 "
    33 , 610 , 740 ," 1,350 ", 760 , 750 ," 1,510 ", 760 , 770 ," 1,530 ", 770 , 940 ," 1,710 ", 780 , 960 ," 1,740 ", 780 , 990 ," 1,770 "
