"","","","1961 [1961]","1961 [1961]","1961 [1961]","1962 [1962]","1962 [1962]","1962 [1962]","1963 [1963]","1963 [1963]","1963 [1963]","1964 [1964]","1964 [1964]","1964 [1964]","1965 [1965]","1965 [1965]","1965 [1965]","1966 [1966]","1966 [1966]","1966 [1966]","1967 [1967]","1967 [1967]","1967 [1967]","1968 [1968]","1968 [1968]","1968 [1968]","1969 [1969]","1969 [1969]","1969 [1969]","1970 [1970]","1970 [1970]","1970 [1970]","1971 [1971]","1971 [1971]","1971 [1971]","1972 [1972]","1972 [1972]","1972 [1972]","1973 [1973]","1973 [1973]","1973 [1973]","1974 [1974]","1974 [1974]","1974 [1974]","1975 [1975]","1975 [1975]","1975 [1975]","1976 [1976]","1976 [1976]","1976 [1976]","1977 [1977]","1977 [1977]","1977 [1977]","1979 [1979]","1979 [1979]","1979 [1979]","1980 [1980]","1980 [1980]","1980 [1980]","1981 [1981]","1981 [1981]","1981 [1981]","1982 [1982]","1982 [1982]","1982 [1982]","1983 [1983]","1983 [1983]","1983 [1983]","1984 [1984]","1984 [1984]","1984 [1984]","1985 [1985]","1985 [1985]","1985 [1985]","1986 [1986]","1986 [1986]","1986 [1986]","1987 [1987]","1987 [1987]","1987 [1987]","1988 [1988]","1988 [1988]","1988 [1988]","1989 [1989]","1989 [1989]","1989 [1989]","1990 [1990]","1990 [1990]","1990 [1990]","1991 [1991]","1991 [1991]","1991 [1991]","1992 [1992]","1992 [1992]","1992 [1992]","1993 [1993]","1993 [1993]","1993 [1993]","1994 [1994]","1994 [1994]","1994 [1994]","1995 [1995]","1995 [1995]","1995 [1995]","1996 [1996]","1996 [1996]","1996 [1996]","1997 [1997]","1997 [1997]","1997 [1997]","1998 [1998]","1998 [1998]","1998 [1998]","1999 [1999]","1999 [1999]","1999 [1999]","2000 [2000]","2000 [2000]","2000 [2000]","2001 [2001]","2001 [2001]","2001 [2001]","2002 [2002]","2002 [2002]","2002 [2002]","2003 [2003]","2003 [2003]","2003 [2003]","2004 [2004]","2004 [2004]","2004 [2004]","2005 [2005]","2005 [2005]","2005 [2005]","2006 [2006]","2006 [2006]","2006 [2006]","2007 [2007]","2007 [2007]","2007 [2007]"
"Uganda [226]","Export Quantity [5907]","Other Agricultural tractors (two-axle tractors) [2455013]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","9","Data reported on country official publications or web sites (Official) or trade country files","No","1","Official data reported on FAO Questionnaires from countries","No","1","Official data reported on FAO Questionnaires from countries","","","","","","","","","","","","","No","3","Official data reported on FAO Questionnaires from countries"
"Uganda [226]","Export Quantity [5907]","Pedestrian controlled tractors (single axle tractors) [2455010]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","1","Official data reported on FAO Questionnaires from countries","No","2","Official data reported on FAO Questionnaires from countries","","","","","","","","","","No","5","Official data reported on FAO Questionnaires from countries","No","26","Official data reported on FAO Questionnaires from countries"
"Uganda [226]","Export Quantity [5907]","Ploughs (e.g. reversible and non-reversible ploughs) [2455001]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","3","Data reported on country official publications or web sites (Official) or trade country files","No","36","Official data reported on FAO Questionnaires from countries","","","","No","300","Official data reported on FAO Questionnaires from countries","","","","No","3","Data reported on country official publications or web sites (Official) or trade country files","","","","","",""
"Uganda [226]","Export Quantity [5907]","Root or tuber harvesting machines [2455006]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Uganda [226]","Export Quantity [5907]","Seeders, planters and transplanters [2455002]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","34","Official data reported on FAO Questionnaires from countries","","","","","","","","","","","","","No","1","Official data reported on FAO Questionnaires from countries"
"Uganda [226]","Export Quantity [5907]","Soil working equipment (trade) [2455016]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Uganda [226]","Export Quantity [5907]","Threshing machines [2455007]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","1","Official data reported on FAO Questionnaires from countries","","","","","",""
"Uganda [226]","Export Quantity [5907]","Track-laying tractors (crawlers) [2455012]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","1","Official data reported on FAO Questionnaires from countries","","","","","","","","","","","","","","","","No","1","Official data reported on FAO Questionnaires from countries"
"Uganda [226]","Export Value [5922]","Agricultural machinery nes (trade) [2455017]","","","","","","","1000 US$","8","Data reported on country official publications or web sites (Official) or trade country files","","","","1000 US$","2","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","2","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","2","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","4","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","1","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","3","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","3","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","2","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","1","Data reported on country official publications or web sites (Official) or trade country files","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000 US$","1","FAO estimate","1000 US$","1","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","435","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","5","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","2","Data reported on country official publications or web sites (Official) or trade country files","","","","","","","1000 US$","0","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","9","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","5","Data reported on country official publications or web sites (Official) or trade country files","1000 US$","44","Data reported on country official publications or web sites (Official) or trade country files"
"Uganda [226]","Export Value [5922]","Agricultural tractors [2455011]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
