Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","2012","2012","tonnes","354600","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","2013","2013","tonnes","315000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","2014","2014","tonnes","347000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1961","1961","tonnes","67131","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1962","1962","tonnes","33700","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1963","1963","tonnes","65136","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1964","1964","tonnes","68840","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1965","1965","tonnes","79258","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1966","1966","tonnes","80639","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1967","1967","tonnes","78000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1968","1968","tonnes","62560","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1969","1969","tonnes","76727","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1970","1970","tonnes","86400","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1971","1971","tonnes","76400","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1972","1972","tonnes","76000","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1973","1973","tonnes","79400","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1974","1974","tonnes","50000","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1975","1975","tonnes","31900","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1976","1976","tonnes","24700","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1977","1977","tonnes","13800","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1978","1978","tonnes","20400","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1979","1979","tonnes","6100","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1980","1980","tonnes","4100","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1981","1981","tonnes","5100","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1982","1982","tonnes","5100","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1983","1983","tonnes","10000","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1984","1984","tonnes","12200","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1985","1985","tonnes","16579","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1986","1986","tonnes","8900","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1987","1987","tonnes","5800","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1988","1988","tonnes","5000","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1989","1989","tonnes","4800","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1990","1990","tonnes","5900","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1991","1991","tonnes","8212","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1992","1992","tonnes","6819","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1993","1993","tonnes","11111","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1994","1994","tonnes","11563","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1995","1995","tonnes","11870","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1996","1996","tonnes","17418","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1997","1997","tonnes","11500","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1998","1998","tonnes","15170","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1999","1999","tonnes","14482","","Official data"
